suite,sim_id,halo_mass,log_halo,truth_s,gen_s,rel_stars,ratio_stars,log_bin
CV,sim_0,13408428621824.0,13.127377884424455,747083464704.0,752387031040.0,0.007099027868460872,0.9929510130860855,"[13.0,13.2)"
CV,sim_0,13013382856704.0,13.114390207017232,864391135232.0,961973125120.0,0.11289101184709545,0.8985605862161407,"[13.0,13.2)"
CV,sim_0,13306006863872.0,13.124047743139863,1168585523200.0,912744382464.0,-0.2189323208757683,1.2802987842503548,"[13.0,13.2)"
CV,sim_0,12169330556928.0,13.085266688055148,439243669504.0,406217916416.0,-0.07518777248467379,1.0813005821589095,"[13.0,13.2)"
CV,sim_0,11989295300608.0,13.078793657156272,501683650560.0,535478304768.0,0.06736247866614152,0.9368888451556562,"[13.0,13.2)"
CV,sim_0,11425728692224.0,13.057883907378221,1569711718400.0,1647395995648.0,0.04948951857681436,0.9528441992980303,"[13.0,13.2)"
CV,sim_0,11535815540736.0,13.06204830300287,2121067003904.0,1937639735296.0,-0.08647877142513032,1.0946653112375295,"[13.0,13.2)"
CV,sim_0,11263780323328.0,13.05168417186757,2057279111168.0,1893331369984.0,-0.07969154029417053,1.086592206616946,"[13.0,13.2)"
CV,sim_0,10484878147584.0,13.020563387577768,1917186998272.0,1925029167104.0,0.0040904558809695185,0.9959262077863487,"[13.0,13.2)"
CV,sim_0,10977576747008.0,13.040506482049308,1079762223104.0,1119016976384.0,0.036354997831980165,0.9649203237230162,"[13.0,13.2)"
CV,sim_0,10525838671872.0,13.022256709358563,435954253824.0,481756643328.0,0.10506237547229205,0.9049262939321506,"[13.0,13.2)"
CV,sim_0,10155089461248.0,13.006683753674377,1089767211008.0,926732386304.0,-0.14960518453587715,1.1759243845509884,"[13.0,13.2)"
CV,sim_1,264071500791808.0,14.421721533669203,5480552333312.0,5475803332608.0,-0.0008665186308202061,1.0008672701365515,"[14.2,16.0)"
CV,sim_1,93063485587456.0,13.96877931450984,1509756764160.0,1327893446656.0,-0.12045868700259495,1.1369562580205375,"[13.8,14.2)"
CV,sim_1,81650675351552.0,13.911959781237284,2448532439040.0,2445647806464.0,-0.0011781067426376358,1.0011794963151994,"[13.8,14.2)"
CV,sim_1,71948721717248.0,13.857023082413319,5722580975616.0,6309627822080.0,0.10258427953495373,0.9069601467760618,"[13.8,14.2)"
CV,sim_1,66429097345024.0,13.822358351180997,973143801856.0,901089525760.0,-0.07404278376800694,1.0799635042203246,"[13.8,14.2)"
CV,sim_1,65370102693888.0,13.815379167226189,1684127875072.0,1461475868672.0,-0.13220611670623952,1.1523473710190764,"[13.8,14.2)"
CV,sim_1,56501066530816.0,13.752056645767695,2454137602048.0,2232532336640.0,-0.09029863086041647,1.09926183902067,"[13.5,13.8)"
CV,sim_1,53554052071424.0,13.728792336525153,2571988107264.0,2477538672640.0,-0.03672234500511448,1.0381222846961082,"[13.5,13.8)"
CV,sim_1,49516703121408.0,13.694751721152512,912961961984.0,760954880000.0,-0.16649881190413054,1.1997583378189256,"[13.5,13.8)"
CV,sim_1,49579156307968.0,13.695299132074572,1286115950592.0,1236373078016.0,-0.03867681802181469,1.0402328985162166,"[13.5,13.8)"
CV,sim_1,42996892434432.0,13.633437068431965,2332112453632.0,2146538487808.0,-0.07957333512583822,1.0864526617519465,"[13.5,13.8)"
CV,sim_1,42298666647552.0,13.62632667761766,1626868023296.0,1515029790720.0,-0.06874450230413781,1.0738191639933696,"[13.5,13.8)"
CV,sim_1,37971004751872.0,13.579452089170886,1273725976576.0,1182674976768.0,-0.0714839780945358,1.0769873393760498,"[13.5,13.8)"
CV,sim_1,36510535516160.0,13.562418202985544,991842140160.0,769574240256.0,-0.22409604402182856,1.2888193084920077,"[13.5,13.8)"
CV,sim_1,34512044032000.0,13.53797068185103,1205138358272.0,1032057520128.0,-0.14361905996600569,1.167704643170018,"[13.5,13.8)"
CV,sim_1,30810449117184.0,13.48869802897884,5439895896064.0,5172791083008.0,-0.04910108909423467,1.0516364973511896,"[13.2,13.5)"
CV,sim_1,30886579929088.0,13.48976982153692,536720343040.0,559419752448.0,0.04229280611841517,0.9594232965341888,"[13.2,13.5)"
CV,sim_1,29398000467968.0,13.46831779247817,1248090390528.0,1285023203328.0,0.02959145674086611,0.9712590304172329,"[13.2,13.5)"
CV,sim_1,29794186035200.0,13.474131525177828,2449601462272.0,2390295838720.0,-0.02421031521470197,1.024810997279633,"[13.2,13.5)"
CV,sim_1,27640316559360.0,13.441543012623868,2087674183680.0,1605790859264.0,-0.23082305092577768,1.3000909624288601,"[13.2,13.5)"
CV,sim_1,26493480599552.0,13.423139017786877,3091968557056.0,3180486721536.0,0.028628416766398834,0.9721683590500102,"[13.2,13.5)"
CV,sim_1,25501357834240.0,13.406563305305252,4600009064448.0,4504633212928.0,-0.020733839908518764,1.0211728340603354,"[13.2,13.5)"
CV,sim_1,24117625487360.0,13.382334546896779,1120915947520.0,1007472017408.0,-0.10120645563388764,1.1126025618099704,"[13.2,13.5)"
CV,sim_1,23360526352384.0,13.368482623943812,2575529148416.0,2798910439424.0,0.08673219293417192,0.9201899110948435,"[13.2,13.5)"
CV,sim_1,21637600641024.0,13.335209100882976,1608232337408.0,1490175393792.0,-0.07340789068218417,1.0792235223503353,"[13.2,13.5)"
CV,sim_1,21658800750592.0,13.335634406037261,778228662272.0,707432218624.0,-0.09097126214975595,1.1000752323462217,"[13.2,13.5)"
CV,sim_1,20277180235776.0,13.307007561450924,2165781823488.0,1845142093824.0,-0.1480480287472394,1.173775087965981,"[13.2,13.5)"
CV,sim_1,20783501934592.0,13.317718726220766,4964773527552.0,4880036528128.0,-0.017067646480499504,1.017364009251895,"[13.2,13.5)"
CV,sim_1,20006792331264.0,13.301177464223377,1267921977344.0,1140547649536.0,-0.1004591213686661,1.1116782169160742,"[13.2,13.5)"
CV,sim_1,17840300097536.0,13.251402155511391,1947699773440.0,1781165719552.0,-0.08550293847078387,1.0934972260357037,"[13.2,13.5)"
CV,sim_1,18682658947072.0,13.271438685805371,813203587072.0,731557068800.0,-0.10040107984025791,1.1116064921714552,"[13.2,13.5)"
CV,sim_1,17836164513792.0,13.251301469458157,567513055232.0,417938112512.0,-0.26356211780688216,1.3578877786976304,"[13.2,13.5)"
CV,sim_1,17529993953280.0,13.243781766290168,1905803001856.0,1428741816320.0,-0.25032030334268834,1.3339030047883411,"[13.2,13.5)"
CV,sim_1,16722050416640.0,13.223289528487902,5792778420224.0,6530277572608.0,0.12731354436227196,0.8870646547280739,"[13.2,13.5)"
CV,sim_1,15587001499648.0,13.19276257718979,1599434653696.0,1326238924800.0,-0.17080768399302515,1.2059928447185326,"[13.0,13.2)"
CV,sim_1,16460948701184.0,13.216454861484758,1653542354944.0,1516003655680.0,-0.08317821364101555,1.0907245168893127,"[13.2,13.5)"
CV,sim_1,16157918625792.0,13.208385416614904,936835088384.0,820250411008.0,-0.12444525063328224,1.1421330313418923,"[13.2,13.5)"
CV,sim_1,15411325173760.0,13.187839984007672,601884983296.0,439526686720.0,-0.26974970481387484,1.3693934895912934,"[13.0,13.2)"
CV,sim_1,14273122140160.0,13.154518982219956,729919782912.0,671411142656.0,-0.08015763050369862,1.0871427900712949,"[13.0,13.2)"
CV,sim_1,14552221614080.0,13.162929299925631,682048880640.0,582436782080.0,-0.1460483278948117,1.1710264557884977,"[13.0,13.2)"
CV,sim_1,15189120385024.0,13.181532624225435,588786434048.0,473210880000.0,-0.1962945261041423,1.2442368908508612,"[13.0,13.2)"
CV,sim_1,14411865522176.0,13.158720201046327,563786285056.0,633125666816.0,0.12298877003209227,0.8904808549166725,"[13.0,13.2)"
CV,sim_1,14679409688576.0,13.166708591400983,1464756207616.0,1099577163776.0,-0.24931045995316595,1.3321086103552369,"[13.0,13.2)"
CV,sim_1,12804055629824.0,13.107347552356906,2014967627776.0,2093602832384.0,0.039025542407742204,0.9624402473135473,"[13.0,13.2)"
CV,sim_1,13499337015296.0,13.130312439778791,914265210880.0,735679741952.0,-0.19533223708261593,1.2427489282961008,"[13.0,13.2)"
CV,sim_1,14001717116928.0,13.14618129915522,289029685248.0,255618416640.0,-0.11559805208012347,1.1307075955135688,"[13.0,13.2)"
CV,sim_1,12924118630400.0,13.111400935750098,721009901568.0,496619487232.0,-0.3112168277412169,1.451835701387155,"[13.0,13.2)"
CV,sim_1,13689412386816.0,13.136384806597077,942286569472.0,926068703232.0,-0.01721118263320627,1.0175125951059563,"[13.0,13.2)"
CV,sim_1,12199489699840.0,13.086341664676494,639320457216.0,642471624704.0,0.004928932669732091,0.9950952425495028,"[13.0,13.2)"
CV,sim_1,12581801558016.0,13.099742831147966,1374242078720.0,1324231688192.0,-0.036391252532873106,1.0377655896426101,"[13.0,13.2)"
CV,sim_1,11986444222464.0,13.078690368787623,1391144468480.0,1299924254720.0,-0.06557206374092084,1.0701734839001436,"[13.0,13.2)"
CV,sim_1,11692570312704.0,13.06790999019718,684220940288.0,640719847424.0,-0.06357755266257953,1.067894092931404,"[13.0,13.2)"
CV,sim_1,11844551966720.0,13.0735186377003,907871125504.0,876606193664.0,-0.03443763212828631,1.0356658806040604,"[13.0,13.2)"
CV,sim_1,12065629536256.0,13.081549986583756,5627535949824.0,6213922193408.0,0.10419946648272217,0.9056334750689244,"[13.0,13.2)"
CV,sim_1,11829504901120.0,13.072966568532317,303764668416.0,300537085952.0,-0.010625272783798169,1.0107393816432875,"[13.0,13.2)"
CV,sim_1,10841413910528.0,13.035085925513881,1748736540672.0,1530509524992.0,-0.12479124819805062,1.14258455247519,"[13.0,13.2)"
CV,sim_1,11351600660480.0,13.055057104612871,770579234816.0,751310209024.0,-0.025005898058751978,1.0256472300796122,"[13.0,13.2)"
CV,sim_1,10387895353344.0,13.016527565938574,289697234944.0,250689748992.0,-0.13464914830664626,1.155600642263377,"[13.0,13.2)"
CV,sim_1,10432987267072.0,13.018408677348162,2575675949056.0,2191490023424.0,-0.1491592627453024,1.175308087887959,"[13.0,13.2)"
CV,sim_1,10375683637248.0,13.016016721297682,736010043392.0,580168122368.0,-0.2117388511517884,1.268615104856019,"[13.0,13.2)"
CV,sim_1,10556768518144.0,13.023530998736355,604588212224.0,502555574272.0,-0.16876385594199594,1.2030275718258703,"[13.0,13.2)"
CV,sim_1,10270611079168.0,13.011596283949324,403877298176.0,343982243840.0,-0.14830012631682798,1.174122517683964,"[13.0,13.2)"
CV,sim_10,330751404933120.0,14.519501697616622,5962903060480.0,7490763227136.0,0.2562275708927944,0.7960341129030508,"[14.2,16.0)"
CV,sim_10,165923981885440.0,14.21990916147821,6168008196096.0,5620673544192.0,-0.08873766611568899,1.097378836824561,"[14.2,16.0)"
CV,sim_10,161413477695488.0,14.207939794601687,3497034514432.0,2965119434752.0,-0.15210461248947538,1.179390777128844,"[14.2,16.0)"
CV,sim_10,137083972747264.0,14.136986681964526,1843110608896.0,1570936455168.0,-0.14767109060862543,1.1732559918847214,"[13.8,14.2)"
CV,sim_10,119462208471040.0,14.077230539189895,1920394330112.0,1870469660672.0,-0.025997092710166626,1.0266909806075464,"[13.8,14.2)"
CV,sim_10,117541074632704.0,14.07018965698345,2465979170816.0,2508257755136.0,0.017144745105859872,0.9831442425590318,"[13.8,14.2)"
CV,sim_10,103844365205504.0,14.01638293585861,2175905824768.0,1986681634816.0,-0.08696340981217582,1.0952463578642408,"[13.8,14.2)"
CV,sim_10,69783169007616.0,13.84375068783021,1440912244736.0,1216931692544.0,-0.1554435761166268,1.1840535122589895,"[13.8,14.2)"
CV,sim_10,66382825783296.0,13.822055735508137,1286216089600.0,1144054087680.0,-0.11052730802349932,1.1242616091764392,"[13.8,14.2)"
CV,sim_10,61591571660800.0,13.789521286326075,2796123848704.0,3060895580160.0,0.09469241914256459,0.9134986070180938,"[13.5,13.8)"
CV,sim_10,58884819517440.0,13.770003348275285,5594070122496.0,5186381152256.0,-0.07287877365006905,1.0786075990698565,"[13.5,13.8)"
CV,sim_10,45920351682560.0,13.66200520546157,2687923912704.0,2708996620288.0,0.007839770867175053,0.9922212130402143,"[13.5,13.8)"
CV,sim_10,44584071593984.0,13.649179727447374,3661257244672.0,3456047251456.0,-0.05604905077746977,1.0593770797345283,"[13.5,13.8)"
CV,sim_10,40086393585664.0,13.602996986250574,3981633650688.0,3671807492096.0,-0.07781382863751518,1.0843797392044483,"[13.5,13.8)"
CV,sim_10,39895124934656.0,13.600919829437847,860233728000.0,931072966656.0,0.08234882724337914,0.9239165552078877,"[13.5,13.8)"
