suite,sim_id,n_halos,median_rel_stars,median_ratio_stars,median_log_halo,n_halos_above_threshold,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35
CV,sim_0,51,-0.09095422473685151,1.100054614643055,13.39782563751981,51,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_1,62,-0.08166792207235708,1.0889336534803038,13.251351812484774,62,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_10,39,-0.09172999066041766,1.1009941864392463,13.416686398912688,39,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_11,58,-0.09459241069788268,1.1044780539732906,13.262959967681216,58,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_12,46,-0.11436583633951342,1.1291497193531181,13.233554919072464,46,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_13,44,-0.07123627615260576,1.0768010374953272,13.329164265976031,44,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_14,60,-0.10328498812401238,1.11519113103876,13.291692909826324,60,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_15,47,-0.09121192466807397,1.1003665509527727,13.41486880172315,47,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_16,60,-0.0917031131499759,1.1009672800643333,13.27702239212092,60,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
CV,sim_17,54,-0.08367268025240666,1.0913197861958426,13.318949242720471,54,0.30000001192092896,0.800000011920929,3.5999999046325684,1.0,7.400000095367432,20.0,0.04899999871850014,0.6711000204086304,0.9624000191688538,2.2699999809265137,0.30000001192092896,-2.299999952316284,8.0,0.10000000149011612,2000.0,0.05000000074505806,350.0,0.25,0.0020000000949949026,2.0,0.6000000238418579,7.999999797903001e-05,1.0,1.0,0.10000000149011612,0.20000000298023224,0.0020000000949949026,2.0,1.0,0.0,1.0,0.0,0.0013000000035390258,1.1200000047683716,2.0
